winside,d_1,d_2,d_3,d_4,d_5,r_1,r_2,r_3,r_4,r_5
dire,6,1,64,9,4,41,32,11,13,21
dire,9,26,38,69,58,6,23,37,22,2
dire,4,15,17,16,35,45,73,9,6,50
radiant,59,6,52,40,57,15,18,31,53,63
radiant,35,18,21,69,31,30,1,5,42,38
radiant,69,30,37,19,32,31,1,59,40,17
dire,69,55,52,21,60,16,27,26,32,28
radiant,40,9,32,68,7,38,16,42,67,1
dire,13,14,20,37,34,40,63,59,17,18
dire,39,34,59,67,13,14,64,1,8,35
dire,63,53,68,41,19,14,7,1,20,38
radiant,2,54,11,21,36,20,39,15,57,14
dire,54,9,6,5,27,49,68,42,21,52
dire,57,26,47,31,6,19,53,32,67,28
dire,14,59,60,45,6,54,7,22,29,8
dire,11,33,29,32,1,4,69,16,20,63
dire,36,15,54,30,1,16,37,6,11,32
dire,59,21,28,8,68,51,42,18,9,17
radiant,54,19,6,30,60,27,35,14,5,42
radiant,50,37,32,29,40,21,63,36,15,18
dire,59,57,58,1,14,32,50,11,26,38
radiant,16,68,51,1,60,42,73,61,21,45
dire,30,13,11,68,41,59,18,21,2,69
dire,1,15,19,17,40,26,49,30,20,7
radiant,1,5,40,7,63,6,50,53,9,26
radiant,67,1,28,17,36,14,7,32,4,50
radiant,30,36,7,28,11,53,14,32,9,69
radiant,31,60,64,11,49,47,51,58,41,18
radiant,53,27,23,6,16,33,67,45,49,9
radiant,20,19,52,69,51,15,61,4,57,32
dire,2,15,64,29,4,59,69,6,49,17
dire,16,37,14,52,32,63,20,5,42,21
dire,14,22,1,57,11,54,63,17,35,19
dire,42,19,47,68,7,5,2,54,69,21
radiant,10,49,19,16,37,29,60,73,57,11
radiant,14,40,22,6,7,59,34,35,8,64
radiant,53,19,21,33,1,28,10,16,25,52
radiant,53,20,41,51,35,31,67,42,14,7
radiant,20,50,54,26,1,27,6,59,30,28
radiant,30,67,69,19,28,32,51,57,38,68
dire,1,31,41,18,7,64,57,49,21,35
radiant,61,59,53,63,58,54,41,45,36,11
radiant,57,59,22,63,16,52,61,20,60,21
radiant,19,49,25,22,4,30,32,17,41,69
radiant,11,29,6,57,5,14,41,31,21,38
radiant,2,42,8,45,39,40,9,6,51,63
dire,21,51,60,53,52,14,13,55,54,36
radiant,20,60,32,14,40,21,22,28,1,5
dire,6,47,57,68,16,31,38,39,4,32
dire,2,7,21,9,41,73,37,68,54,11
radiant,53,29,14,25,32,4,7,20,5,41
dire,21,39,22,60,4,63,69,59,19,14
dire,9,4,21,26,7,47,59,60,68,32
radiant,30,22,2,60,63,57,68,4,47,16
dire,19,7,20,49,15,54,35,1,42,23
radiant,16,37,52,73,50,54,14,9,45,31
radiant,1,47,53,49,11,57,14,23,13,40
radiant,47,6,35,45,1,15,29,63,53,67
dire,1,67,50,42,59,25,35,22,41,51
radiant,60,19,39,42,51,35,69,21,9,22
radiant,53,61,63,57,52,69,39,32,49,10
dire,29,67,37,6,18,42,5,53,28,35
radiant,58,22,17,1,2,57,32,41,61,68
dire,45,28,31,68,4,14,41,27,2,6
radiant,23,4,33,67,7,15,25,39,54,13
radiant,59,63,35,28,5,54,42,9,14,57
dire,19,14,4,69,22,13,47,2,54,11
dire,35,32,21,39,59,19,5,30,52,4
dire,35,10,4,5,60,1,54,18,53,65
radiant,59,31,40,47,28,1,68,14,69,19
radiant,2,18,21,13,16,63,69,31,39,9
radiant,53,54,1,14,27,67,57,37,5,13
dire,20,9,42,37,57,28,4,23,6,1
dire,53,25,32,4,28,9,50,8,51,17
radiant,20,14,16,26,47,1,50,29,2,37
dire,21,9,14,16,15,23,39,73,50,41
radiant,60,16,21,6,50,67,54,47,45,20
radiant,20,14,16,26,47,1,50,29,2,37
radiant,16,32,5,35,42,54,22,18,63,57
radiant,26,1,34,9,19,5,14,7,3,35
dire,47,40,4,17,69,32,20,8,60,35
radiant,9,25,51,64,41,68,54,31,47,69
dire,39,59,10,41,7,18,58,50,53,61
dire,30,14,32,2,20,4,52,49,59,60
radiant,63,39,54,30,60,53,7,6,20,59
dire,47,2,10,45,4,6,63,7,25,18
radiant,20,14,16,26,47,1,50,29,2,37
dire,25,26,32,18,6,59,2,29,53,1
radiant,42,35,16,59,65,41,19,47,20,22
radiant,9,25,69,54,26,16,14,50,59,35
radiant,49,14,6,22,35,20,27,21,38,37
radiant,15,32,7,29,27,14,57,31,61,53
dire,54,60,15,5,39,42,67,53,14,68
radiant,36,32,59,45,60,9,55,54,28,17
dire,61,69,32,50,59,49,9,10,63,51
dire,22,49,17,41,60,6,53,59,14,45
dire,13,28,1,53,40,30,26,63,66,29
radiant,32,9,7,14,22,40,20,60,21,41
dire,41,68,52,27,53,7,35,2,69,9
radiant,42,35,16,59,65,41,19,47,20,22
radiant,29,40,21,6,2,4,68,61,69,14
dire,49,67,40,30,52,6,21,47,9,11
radiant,31,40,19,29,35,55,58,53,69,41
radiant,63,55,51,49,47,53,5,40,64,59
dire,21,2,1,5,11,67,40,59,53,49
dire,15,9,32,14,68,18,4,26,53,23
dire,57,64,21,28,63,53,1,54,69,9
dire,2,17,35,57,40,69,20,67,9,34
radiant,9,47,2,19,17,33,63,7,1,61
radiant,53,16,21,57,35,9,28,20,32,63
radiant,2,6,32,41,26,22,53,14,35,17
radiant,2,6,32,41,26,22,53,14,35,17
radiant,18,4,28,30,9,42,54,53,5,38
radiant,16,50,9,59,20,67,60,29,32,5
dire,41,23,64,18,27,35,28,61,38,5
dire,63,49,64,14,30,7,35,57,17,11
dire,67,4,23,45,31,32,50,2,64,1
radiant,10,34,59,67,6,42,4,2,22,50
dire,57,49,13,26,67,29,59,55,6,41
radiant,10,34,59,67,6,42,4,2,22,50
radiant,32,42,4,6,64,53,1,14,7,67
dire,9,18,60,4,35,6,15,49,13,65
dire,7,27,8,69,53,1,63,42,37,5
radiant,63,19,60,16,35,1,54,64,50,28
radiant,5,16,9,8,69,6,53,34,54,49
dire,40,69,35,37,16,28,6,21,27,63
dire,54,9,50,59,6,1,2,5,68,42
radiant,61,22,53,14,32,4,34,31,11,54
radiant,31,2,21,55,19,18,16,20,53,35
radiant,26,47,19,69,21,33,60,49,55,6
radiant,14,17,60,25,6,10,19,36,15,5
radiant,13,59,57,68,10,9,49,60,33,29
dire,22,2,30,32,9,1,53,49,25,27
radiant,65,14,42,23,68,50,5,16,9,1
radiant,54,11,8,22,6,9,16,42,25,40
dire,60,1,53,9,26,15,69,14,31,63
radiant,14,67,17,7,59,8,22,26,60,41
radiant,18,32,50,6,5,13,2,1,49,25
dire,2,8,31,45,39,54,59,4,42,68
radiant,36,41,49,53,32,63,50,28,68,57
dire,9,60,66,63,53,7,35,67,50,1
dire,16,6,26,8,60,9,21,52,2,40
dire,16,6,26,8,60,9,21,52,2,40
dire,21,8,22,57,28,61,73,33,2,47
radiant,29,54,68,37,21,53,9,28,1,5
dire,14,69,40,18,32,28,29,25,65,9
dire,6,29,40,21,37,1,54,31,7,55
dire,21,69,57,39,47,31,20,54,64,35
dire,16,29,63,47,54,28,7,25,26,1
dire,49,65,23,8,42,18,31,67,63,17
dire,16,6,26,8,60,9,21,52,2,40
radiant,39,37,47,57,32,45,69,20,51,6
radiant,40,17,20,19,67,9,60,53,37,61
dire,13,59,6,42,49,35,41,30,28,7
dire,1,16,5,54,65,6,9,27,58,59
dire,61,15,57,7,58,29,33,26,63,67
radiant,14,13,8,61,29,28,53,18,67,22
radiant,63,61,4,8,45,41,9,16,19,18
radiant,68,26,25,11,54,6,14,16,21,28
dire,41,40,32,67,21,37,39,9,11,27
radiant,28,6,58,21,15,41,9,53,55,8
radiant,8,47,68,27,28,14,9,1,63,26
radiant,19,34,22,11,6,28,47,39,35,21
radiant,45,7,66,21,32,8,10,59,1,11
dire,13,53,73,6,1,22,37,35,28,69
radiant,31,28,26,21,6,13,45,32,29,63
dire,26,32,36,23,47,53,60,35,49,2
radiant,53,14,8,73,21,26,54,7,60,9
dire,54,9,37,14,32,39,22,38,73,35
dire,25,60,130,28,22,27,14,35,63,58
radiant,21,60,15,1,67,32,5,16,25,69
radiant,55,37,32,14,63,30,67,23,28,6
dire,60,16,31,21,61,59,68,32,9,42
radiant,9,32,54,25,53,10,11,68,29,31
radiant,49,22,7,10,28,4,54,47,60,21
radiant,10,37,14,9,18,54,53,16,6,4
dire,4,50,6,10,33,41,54,30,53,16
dire,17,32,58,16,9,14,41,6,2,21
dire,39,11,60,29,35,58,49,9,45,4
dire,58,7,49,31,35,59,21,18,41,67
dire,16,14,73,32,19,9,1,59,36,27
radiant,39,6,14,55,63,19,35,1,30,54
dire,1,5,51,30,57,47,60,6,13,31
radiant,39,50,8,19,4,30,55,60,6,54
radiant,35,23,18,41,30,1,17,4,5,31
radiant,11,8,32,9,20,1,36,31,35,6
dire,31,18,9,21,69,68,15,1,6,14
dire,15,59,54,34,63,26,14,35,60,22
radiant,4,14,32,59,7,20,49,67,11,1
dire,32,28,4,21,5,2,9,26,8,23
radiant,52,25,15,18,2,61,27,68,41,29
radiant,6,1,67,18,26,16,40,50,4,41
radiant,54,59,60,14,68,19,4,17,35,20
radiant,51,10,8,64,54,17,5,31,19,9
radiant,18,16,41,69,45,8,42,64,47,11
radiant,61,26,42,2,11,38,53,9,35,25
dire,11,15,59,29,68,20,47,6,60,23
dire,61,54,16,25,9,34,21,1,28,6
radiant,21,27,1,26,9,5,68,41,14,59
dire,35,34,21,59,22,66,27,1,30,54
radiant,5,47,41,65,36,18,25,35,54,9
dire,39,31,60,32,9,63,51,49,8,69
dire,36,41,6,35,60,14,49,2,30,63
dire,4,26,45,54,6,31,7,9,51,2
radiant,11,26,63,13,2,14,61,68,54,31
dire,2,53,42,26,1,9,41,14,36,27
radiant,42,14,68,59,10,11,9,30,53,28
radiant,61,59,6,25,60,35,31,38,33,52
dire,21,35,13,41,61,27,6,38,60,37
radiant,21,17,42,40,4,54,34,49,64,5
dire,6,40,59,30,49,33,42,32,14,10
radiant,47,60,29,65,58,16,32,21,22,9
radiant,16,25,23,4,47,63,21,37,73,1
radiant,11,49,52,57,35,60,6,32,2,51
dire,67,47,36,6,52,21,23,1,59,18
radiant,28,26,35,61,67,7,73,47,57,64
dire,63,21,42,57,6,17,19,35,53,32
radiant,61,52,63,29,5,51,47,25,22,28
radiant,14,21,32,61,26,41,9,7,31,35
radiant,65,60,8,58,16,67,55,11,40,59
dire,61,60,14,36,54,59,28,1,50,34
radiant,57,68,32,66,69,16,28,20,23,36
radiant,35,30,23,25,1,60,66,54,29,40
radiant,21,4,54,25,7,51,26,42,41,22
radiant,11,67,2,14,55,28,54,68,21,49
radiant,1,53,25,35,2,17,60,67,8,22
radiant,14,22,35,37,65,61,30,19,4,7
radiant,37,57,14,9,53,8,2,60,59,64
dire,9,6,60,54,31,29,67,51,45,38
radiant,30,8,69,52,14,26,45,54,1,42
dire,14,68,32,1,45,54,53,17,7,33
dire,4,52,40,34,14,49,11,10,38,22
radiant,54,27,35,11,21,17,53,38,1,8
radiant,6,20,14,19,40,26,31,35,55,7
radiant,31,6,41,27,40,2,67,18,25,65
radiant,45,25,1,22,19,7,61,40,54,27
radiant,45,25,1,22,19,7,61,40,54,27
radiant,45,25,1,22,19,7,61,40,54,27
dire,8,31,68,73,11,50,47,22,39,54
radiant,65,61,14,42,20,69,9,68,26,63
radiant,17,11,35,38,18,39,42,52,4,49
dire,63,73,53,30,18,59,11,28,25,20
radiant,29,23,9,21,17,52,14,16,32,27
dire,14,6,69,63,20,45,15,54,41,59
radiant,59,7,65,8,11,22,63,67,39,38
radiant,17,28,19,5,1,51,34,7,35,6
radiant,32,40,2,37,20,35,22,73,36,31
radiant,32,21,40,6,59,20,53,22,51,1
dire,37,53,41,28,50,17,26,54,21,8
dire,40,73,67,53,7,32,63,18,34,36
dire,54,34,8,5,1,45,18,4,19,13
radiant,14,10,25,7,9,37,1,49,5,17
dire,69,63,49,20,19,4,17,5,59,2
radiant,59,35,64,58,73,67,50,16,14,21
dire,35,29,42,32,31,49,63,45,54,9
radiant,6,28,49,32,68,45,16,10,14,29
dire,6,27,7,41,5,54,68,25,9,40
radiant,60,1,20,21,19,6,11,50,53,73
dire,47,2,36,16,9,21,23,60,5,61
radiant,5,14,8,42,45,63,54,22,58,53
dire,50,16,17,40,54,25,39,28,19,45
dire,60,18,52,35,63,30,16,21,49,47
radiant,31,57,65,9,63,73,23,6,64,39
radiant,54,49,7,18,63,28,32,68,31,21
dire,2,25,34,6,60,30,1,19,53,21
dire,4,31,40,11,29,35,14,8,54,32
dire,63,54,69,47,40,4,14,21,51,1
radiant,40,11,45,2,42,61,14,21,20,67
dire,9,14,29,2,57,61,41,42,32,1
radiant,54,68,31,15,13,34,37,9,8,14
dire,49,14,6,18,55,34,7,32,2,41
radiant,16,61,65,28,54,52,63,41,32,64
radiant,40,13,54,55,11,50,23,35,1,16
radiant,30,7,39,32,13,14,40,8,33,9
radiant,5,60,1,35,61,9,7,14,20,11
dire,38,1,54,59,39,63,31,51,32,40
radiant,67,9,17,53,41,8,64,6,14,60
radiant,17,54,32,2,58,25,37,7,9,35
dire,13,58,41,51,35,57,60,1,67,6
radiant,69,6,35,59,1,31,32,29,41,54
dire,60,27,22,26,32,40,16,39,11,19
radiant,10,54,5,39,47,30,22,61,9,67
radiant,55,33,19,10,2,5,31,29,8,11
dire,22,68,40,1,14,54,50,20,45,32
radiant,6,59,60,18,34,45,9,57,31,13
dire,14,63,29,53,59,51,1,10,55,35
dire,15,69,7,67,31,1,14,51,41,35
dire,9,28,34,7,32,68,53,1,29,25
dire,31,53,47,42,8,39,13,40,63,51
radiant,69,35,59,50,61,11,9,49,22,21
radiant,55,33,19,10,2,5,31,29,8,11
radiant,45,14,8,51,21,32,7,25,67,50
dire,66,69,39,23,53,63,22,67,20,68
radiant,32,49,45,17,68,35,69,36,22,27
radiant,49,52,45,51,33,17,10,40,32,9
radiant,50,32,53,63,14,58,5,60,21,11
dire,59,6,32,53,33,35,51,39,65,19
radiant,67,29,6,41,25,10,7,21,57,49
radiant,21,31,53,1,16,36,59,34,20,9
dire,60,35,29,9,53,6,7,58,25,32
dire,68,30,31,14,51,7,6,52,54,32
radiant,68,53,23,38,10,1,69,31,63,25
dire,9,35,18,20,11,36,1,69,25,15
radiant,67,16,26,51,69,47,18,52,60,9
radiant,9,20,53,14,21,40,16,35,42,17
dire,47,28,22,57,16,23,5,40,19,66
dire,61,31,53,21,8,63,54,22,35,32
dire,6,65,41,37,60,73,40,1,14,32
radiant,4,41,14,60,54,13,42,35,23,28
dire,4,17,68,57,28,11,5,19,61,16
dire,4,17,68,57,28,11,5,19,61,16
dire,69,55,Louie,68,9,2,15,49,50,54
dire,53,7,10,64,50,9,4,40,28,5
radiant,32,34,27,21,57,9,59,69,40,53
dire,34,51,11,69,25,28,26,8,33,47
dire,68,8,23,59,42,66,9,40,36,35
dire,32,57,7,21,28,6,5,8,51,23
dire,60,9,14,40,47,4,67,7,63,41
dire,67,27,14,47,29,53,38,32,33,63
radiant,31,32,16,58,60,38,19,27,63,53
radiant,25,67,22,73,38,26,7,9,35,69
radiant,11,63,54,8,9,60,22,32,34,40
dire,6,53,69,7,23,2,54,65,64,59
radiant,69,37,16,35,4,27,32,8,7,18
dire,26,54,30,16,36,27,2,50,34,67
radiant,6,40,26,1,60,50,35,23,30,9
radiant,32,59,10,54,7,35,16,73,45,2
radiant,11,23,54,55,17,21,35,27,2,63
dire,59,57,32,63,60,41,69,1,53,35
radiant,20,61,66,32,17,28,5,16,14,6
dire,47,17,14,41,15,63,42,66,53,23
radiant,41,36,60,16,20,15,57,26,29,32
radiant,60,21,17,50,10,35,25,7,9,63
dire,4,38,6,31,20,53,65,57,15,14
dire,33,8,51,22,35,6,9,30,21,55
dire,4,10,68,14,53,32,50,19,9,39
dire,42,52,61,16,23,31,14,65,35,29
radiant,40,49,37,15,32,14,42,6,68,9
radiant,59,1,25,20,54,35,6,19,36,5
dire,38,67,21,22,16,20,28,5,1,7
radiant,27,14,51,21,6,58,36,40,20,1
dire,11,67,54,7,31,14,2,33,35,29
dire,42,52,61,16,23,31,14,65,35,29
dire,36,1,27,30,14,61,67,68,49,7
dire,6,27,1,13,50,11,68,54,2,9
dire,2,39,7,35,47,23,1,29,9,63
dire,55,42,66,69,73,49,26,59,6,39
radiant,51,5,45,57,35,25,1,61,22,42
dire,9,35,33,14,38,52,41,57,47,16
radiant,42,57,40,6,36,17,22,69,53,41
dire,16,52,17,60,10,20,28,41,7,23
radiant,28,23,40,69,13,14,21,16,39,32
dire,31,42,26,1,9,54,27,8,64,20
radiant,21,39,8,2,6,20,53,32,13,50
radiant,42,10,59,47,26,30,67,29,27,16
radiant,1,57,39,21,11,35,53,26,63,14
radiant,6,42,50,20,23,5,16,8,15,65
radiant,6,42,50,20,23,5,16,8,15,65
radiant,6,42,50,20,23,5,16,8,15,65
radiant,6,42,50,20,23,5,16,8,15,65
dire,9,35,33,14,38,52,41,57,47,16
dire,47,9,60,8,26,57,59,51,10,23
dire,14,67,57,5,27,49,32,16,11,53
radiant,67,8,9,14,59,39,5,30,73,42
dire,19,30,53,31,47,67,7,60,21,23
radiant,34,63,69,5,11,60,23,32,38,21
dire,26,30,4,18,65,5,47,29,8,7
dire,40,61,31,38,8,22,9,16,23,4
radiant,27,68,33,39,47,35,29,54,25,31
radiant,69,4,21,63,53,51,27,59,7,49
radiant,59,22,39,19,35,5,1,42,14,47
radiant,1,23,14,26,9,60,22,7,54,37
radiant,29,15,10,57,23,1,19,22,40,69
radiant,32,54,6,7,21,26,16,38,61,4
radiant,26,47,32,21,7,68,60,41,33,11
dire,20,10,59,11,1,8,60,9,67,28
dire,15,34,59,39,32,69,25,41,4,6
radiant,54,16,32,66,18,29,59,41,35,57
radiant,11,49,4,21,38,5,54,68,23,63
dire,60,1,10,40,63,54,9,32,49,61
radiant,26,47,32,21,7,68,60,41,33,11
radiant,26,47,32,21,7,68,60,41,33,11
dire,35,16,8,14,22,65,41,67,31,7
dire,1,16,59,9,35,6,65,20,28,26
dire,21,39,1,51,8,42,7,53,61,10
radiant,42,11,35,21,32,8,68,60,59,39
radiant,40,73,9,2,17,1,35,49,13,53
dire,7,50,8,13,9,54,6,64,21,49
radiant,14,5,27,29,67,42,8,20,39,22
dire,1,61,63,28,20,10,54,14,16,60
dire,59,35,53,28,11,54,68,42,7,1
dire,4,42,25,8,9,59,63,15,13,32
radiant,60,2,54,32,68,11,45,10,16,29
radiant,35,69,54,32,60,53,37,1,73,52
dire,53,29,22,47,59,54,61,35,42,30
radiant,6,22,11,42,31,50,51,68,8,14
radiant,14,35,41,36,16,28,63,68,42,4
radiant,5,13,22,18,1,7,65,33,49,63
radiant,35,32,42,21,60,29,45,69,20,40
radiant,54,63,14,60,53,4,22,50,2,42
radiant,49,53,63,57,33,26,68,10,51,42
dire,18,20,25,36,8,7,22,61,57,63
radiant,54,10,29,35,40,20,2,49,69,67
radiant,9,60,23,68,50,13,66,39,10,40
radiant,58,14,5,60,4,23,35,17,31,42
radiant,17,14,54,53,7,10,1,55,69,30
dire,14,30,41,23,42,5,2,21,68,35
dire,7,63,4,55,42,69,53,15,5,60
dire,60,9,61,23,36,38,6,39,19,51
radiant,22,4,2,31,41,40,9,21,14,68
dire,36,6,18,1,31,54,20,14,53,40
dire,42,6,63,33,22,32,54,25,27,9
radiant,11,14,67,33,73,27,29,4,5,1
radiant,63,53,2,6,16,14,1,59,42,27
radiant,6,38,60,35,21,63,41,14,25,32
dire,19,49,54,50,32,17,11,14,9,27
radiant,35,5,54,63,1,67,60,4,14,6
dire,15,31,4,60,57,13,54,22,11,26
dire,27,54,6,5,36,19,15,13,1,30
radiant,65,42,9,35,28,14,5,59,2,17
radiant,47,4,21,31,32,28,64,5,9,35
dire,61,9,52,5,60,17,6,22,25,35
dire,9,16,51,53,68,66,73,14,30,65
dire,39,50,59,18,51,21,53,2,60,1
radiant,21,29,67,59,20,52,28,19,47,9
radiant,6,53,41,14,13,52,60,31,32,45
radiant,4,21,57,54,40,69,61,16,13,9
dire,31,22,69,59,57,27,58,67,16,54
dire,6,2,47,4,63,25,8,38,27,67
dire,59,13,68,53,49,4,35,33,16,21
radiant,9,60,55,19,17,47,54,2,7,68
dire,26,1,54,9,51,57,21,67,22,5
radiant,32,59,54,31,6,28,11,4,42,22
radiant,34,1,42,41,59,29,6,22,2,54
radiant,40,19,6,52,28,16,21,4,37,7
radiant,8,31,1,21,9,14,32,22,68,61
radiant,28,30,68,41,31,54,4,14,5,15
dire,26,17,8,2,20,42,1,29,64,51
radiant,38,10,13,40,68,25,35,29,61,50
dire,59,28,66,61,1,32,22,58,40,63
radiant,54,35,69,47,53,68,7,61,1,27
radiant,21,10,60,67,11,19,9,32,31,69
radiant,13,32,23,42,37,68,31,69,36,35
radiant,32,68,6,55,16,20,9,50,42,22
dire,47,7,29,33,36,59,54,1,13,57
radiant,40,31,27,32,19,23,60,63,28,22
dire,69,21,2,1,9,54,14,19,45,41
dire,5,54,31,67,14,42,61,34,50,40
radiant,42,1,9,7,58,21,25,11,19,40
radiant,18,9,32,1,39,6,14,30,28,21
radiant,27,16,69,52,1,30,8,2,9,50
radiant,15,49,10,17,25,59,21,9,4,45
radiant,17,22,69,32,20,29,35,64,63,14
dire,19,30,53,31,47,67,7,60,21,23
radiant,14,6,7,9,26,18,21,1,23,37
radiant,14,61,10,21,9,0,18,42,6,32
radiant,19,17,39,9,61,35,59,13,26,10
radiant,68,11,65,27,28,53,21,2,34,67
radiant,5,67,39,20,59,25,49,22,63,51
radiant,45,59,60,37,1,49,6,39,67,29
dire,19,31,45,8,35,1,20,6,32,39
radiant,47,23,63,31,30,27,14,20,21,67
radiant,1,7,58,39,9,54,51,18,15,29
dire,14,13,1,27,47,2,9,32,20,10
radiant,2,9,27,42,73,4,23,54,7,39
dire,26,16,19,9,45,6,66,51,33,67
dire,1,23,36,jag bajsa,31,4,58,14,6,55
dire,13,59,54,9,10,35,21,65,41,51
radiant,20,18,34,32,21,14,33,40,1,49
dire,1,49,5,22,63,21,51,34,39,42
dire,37,28,65,4,67,40,18,54,17,1
radiant,14,32,54,68,59,1,52,41,25,8
dire,32,37,28,6,57,17,36,53,14,54
dire,32,37,28,6,57,17,36,53,14,54
dire,32,37,28,6,57,17,36,53,14,54
dire,32,37,28,6,57,17,36,53,14,54
dire,32,37,28,6,57,17,36,53,14,54
dire,38,14,1,60,42,61,51,35,15,73
dire,63,53,1,7,59,16,40,33,11,38
dire,36,63,30,13,35,14,21,10,2,60
dire,31,29,60,57,1,41,33,4,6,7
radiant,47,66,61,28,33,31,52,32,18,25
dire,23,29,61,5,1,54,19,53,68,63
radiant,5,60,29,4,6,40,32,7,33,26
dire,132,37,54,58,61,35,60,47,49,22
radiant,61,59,17,73,63,67,7,35,1,47
dire,53,63,20,36,42,17,4,7,16,9
dire,14,16,52,29,6,35,26,30,61,23
radiant,68,9,14,32,8,51,6,38,22,50
dire,60,23,9,14,63,2,27,53,47,1
radiant,8,73,35,45,38,19,9,67,28,26
radiant,10,22,53,7,19,60,14,66,1,42
dire,26,31,4,8,7,1,13,41,60,53
dire,20,18,9,16,21,32,34,49,27,57
dire,67,7,36,1,18,41,26,55,35,49
dire,54,19,45,31,47,20,28,67,32,27
dire,35,22,42,26,9,21,6,64,69,54
radiant,65,32,64,47,67,0,66,51,36,21
dire,30,60,14,9,21,4,53,61,54,29
dire,21,8,22,57,28,61,73,33,2,47
dire,27,6,11,59,14,41,45,69,22,21
dire,21,60,68,1,5,41,14,53,67,19
radiant,7,58,28,17,18,60,21,1,14,25
radiant,45,30,14,47,54,7,17,41,60,1
dire,60,1,8,50,54,23,67,14,13,27
dire,31,41,54,68,9,1,2,32,15,58
radiant,21,8,47,16,32,28,18,29,15,17
dire,25,47,2,54,63,29,8,35,32,67
dire,7,39,59,32,57,23,64,41,65,36
dire,11,53,67,5,16,64,2,21,25,35
radiant,49,32,16,21,7,14,45,65,60,15
dire,49,35,57,37,4,32,5,54,34,67
radiant,41,20,25,45,7,28,67,32,31,10
radiant,30,20,36,8,14,31,10,45,13,28
dire,51,59,6,8,69,14,35,57,5,9
radiant,63,49,1,19,22,65,42,13,35,67
dire,1,28,39,21,57,10,7,68,17,73
dire,8,13,40,59,52,29,14,32,45,31
radiant,59,6,9,28,54,19,32,2,61,53
radiant,57,58,22,32,7,63,59,4,41,35
radiant,26,14,54,25,59,68,17,57,29,32
dire,11,31,16,21,63,2,58,35,23,59
dire,50,7,16,1,68,14,69,20,40,52
radiant,11,26,9,18,16,61,14,53,59,45
dire,14,60,6,4,40,68,15,11,59,16
radiant,23,68,9,8,22,1,45,14,34,31
dire,19,54,2,51,6,7,52,63,36,35
radiant,54,58,7,1,63,42,22,57,31,35
radiant,14,31,40,6,38,41,23,9,68,5
dire,5,18,37,40,22,64,69,9,25,15
radiant,6,31,4,1,68,16,21,9,41,25
dire,54,37,41,31,36,59,21,29,25,32
radiant,39,51,7,4,23,10,42,33,59,5
radiant,22,66,6,5,64,29,4,73,39,14
radiant,34,14,54,67,4,16,59,60,6,21
dire,49,57,6,1,61,47,32,59,63,8
radiant,18,32,10,49,26,14,9,63,30,33
dire,4,13,5,51,7,52,69,41,16,0
radiant,27,50,2,20,60,35,7,6,32,29
dire,27,57,42,51,41,60,21,16,6,63
dire,4,16,19,65,36,18,17,31,54,10
radiant,27,51,14,19,52,26,55,4,53,7
radiant,42,20,59,41,26,1,54,69,57,25
dire,61,10,32,26,22,30,14,57,64,35
radiant,63,1,14,27,65,9,69,41,31,5
dire,16,11,31,17,32,7,38,27,53,67
dire,60,22,53,32,9,1,58,36,57,59
radiant,22,1,26,29,69,37,50,60,10,63
radiant,60,35,40,20,10,19,6,54,4,14
dire,9,21,20,35,28,6,32,50,51,30
dire,30,69,9,32,21,47,63,7,25,49
dire,30,69,9,32,21,47,63,7,25,49
radiant,6,18,9,2,5,16,23,21,20,8
dire,53,68,49,4,29,9,8,69,39,1
radiant,16,30,28,6,23,60,69,9,36,14
dire,33,9,28,60,5,53,14,25,32,27
radiant,64,69,23,29,63,22,18,35,59,49
dire,30,69,9,32,21,47,63,7,25,49
dire,6,4,34,55,7,15,9,28,69,39
dire,21,4,31,54,60,26,73,14,67,59
radiant,7,31,50,1,28,36,8,22,54,59
radiant,10,51,20,40,31,45,60,16,14,9
radiant,14,29,31,25,21,34,22,7,69,15
radiant,25,19,54,22,35,28,6,8,16,66
radiant,33,29,54,18,31,67,16,60,9,1
dire,17,8,51,58,54,68,6,57,21,42
radiant,42,63,14,31,67,5,49,6,10,18
radiant,9,21,28,20,1,68,14,50,16,67
radiant,59,54,7,47,21,31,26,16,49,14
dire,4,26,40,49,53,31,1,23,20,0
dire,6,37,42,53,16,7,5,69,20,59
dire,26,31,1,69,13,59,61,33,18,20
dire,57,55,130,35,54,42,49,18,22,1
radiant,14,9,73,31,1,29,19,52,32,53
radiant,15,18,26,17,9,1,14,5,21,49
dire,51,31,6,69,21,9,7,25,5,1
radiant,39,29,15,26,21,37,54,11,67,45
radiant,26,18,7,1,39,60,63,16,69,21
dire,27,14,54,36,41,35,59,69,60,26
dire,15,60,14,5,28,54,32,17,16,69
dire,29,9,52,67,47,4,14,10,21,38
radiant,10,11,39,33,7,68,20,6,28,17
dire,2,4,5,9,59,54,6,14,19,50
dire,63,21,60,57,32,53,25,17,6,39
radiant,36,16,21,27,47,5,73,40,8,42
radiant,18,49,53,9,14,58,59,22,16,15
dire,66,54,29,68,20,58,67,18,32,17
dire,21,54,33,42,37,14,30,68,59,1
radiant,54,33,53,35,63,31,22,11,69,1
dire,7,40,1,14,66,49,33,54,29,17
dire,53,4,50,14,7,42,54,33,10,13
dire,41,7,40,28,5,61,14,37,18,49
